Jet,Fahren,Fuhr,Sein gefahren
Odjet,Abfahren,Fuhr ab,Sein abgefahren
Dozvědět se,Erfahren,Erfuhr,Haben erfahren
Vjet,Einfahren,Fuhr ein,Sein eingefahren
Vyjet,Ausfahren,Fuhr aus,Sein ausgefahren
Pozvat,Einladen,Lud ein,Haben eingeladen
Bít/tlouct,Schlagen,Schlug,Haben geschlagen
Navrhnout,Vorschlagen,Schlug vor,Haben vorgeschlagen
Nést,Tragen,Trug,Haben getragen
Mýt/prát,Waschen,Wusch,Haben gewaschen
Držet,Halten,Hielt,Haben gehalten
Bavit se,Sich unterhalten,Unterhielten sich,Haben sich unterhalten
Padat,Fallen,Fiel,Sein gefallen
Líbit,Gefallen,Gefiel,Haben gefallen
Nechat,Lassen,Ließ,Haben gelassen
Opustit,Verlassen,Verließ,Haben verlassen
,Verlassen sich,Verließ sich,Haben sich verlassen
Spát,Schlafen,Schlief,Haben geschlafen
Usnout,Einschlafen,Schlief ein,Sein eingeschlafen
Zaspat,Verschlafen,Verschlief,Haben verschlafen
Běžet,Laufen,Lief,Sein gelaufen
Volat,Rufen,Rief,Haben gerufen
Zavolat,Anrufen,Rief an,Haben angerufen
Jmenovat,Heißen,Hieß,Haben geheißen
Jíst,Essen,Aß,Haben gegessen
Dát,Geben,Gab,Haben gegeben
Odevzdat,Abgeben,Gab ab,Haben abgegebn
Zanechat/vzdát,Aufgeben,Gab auf,Haben aufgegeben
Vydat/utratit peníze,Ausgeben,Gab aus,Haben ausgegeben
Stát se (událost),Geschehen,Geschah,Sein geschehen
Číst,Lesen,Las,Haben gelesen
Vidét,Sehen,Sah,Haben gesehen
Podívat se,Sich ansehen,Sah sich (3.p.) an,Haben sich angesehen
Vypadat,Aussehen,Sah aus,Haben ausgesehen
Stoupat,Treten,Trat,Haben/Sein getreten
Vystoupit ne jevišti,Antreten,Trat an,Haben/Sein angetreten
Zapomenout,Vergessen,Vergaß,Haben vergessen
Začít,Anfangen,Fing an,Haben angefangen
Chytit,Fangen,Fing,Haben gefangen
Viset,Hängen,Hing,Haben gehangen
Přijít,Kommen,Kam,Sein gekommen
Dostat,Bekommen,Bekam,Haben bekommen
Jít s někým,Mitkommen,Kam mit,Sein mitgekommen
Vrátit se,Zurückkomen,Kam zurück,Sein zurückgekommen
Dorazit,Ankommen,Kam an,Sein angekommen
