Najít,Finden,Fand,Haben gefunden
Nacházat se,Sich befinden,Befand sich,Haben sich befunden
Konat se,Stattfinden,Fand statt,Haben stattgefunden
Podařit se,Gelingen,Gelang,Sein gelungen
Zpívat,Singen,Sang,Haben gesungen
Skákat,Springen,Sprang,Haben/Sein gesprungen
Pít,Trinken,Trank,Haben getrunken
Nutit,Zwingen,Zwang,Haben gezwungen
Začít,Beginnen,Bagann,Haben begonnen
Získat/vyhrát,Gewinnen,Gewann,Haben gewonnen
Plavat,Schwimmen,Schwamm,Haben/Sein geschwommen
Doporučit,Empfehlen,Empfahl,Haben empfohlen
Polekat se,Erschrecken,Erschrack,Haben erschrocken
Pomáhat,Helfen,Half,Haben geholfen
Vzít/brát,Nehmen,Nahm,Haben genommen
Zúčastnit se,Teilnehmen,Nahm teil,Haben teilgenommen
Zhubnout,Abnehmen,Nahm ab,Haben abgenommen
Přibrat,Zunehmen,Nahm zu,Haben zugenommen
Setkat se,Sich treffen,Traf sich,Haben sich getroffen
Týkat se,Betreffen,Betraf,Haben betroffen
Mluvit,Sprechen,Sprach,Haben gesprochen
Vyslovit,Aussprechen,Sprach aus,Haben ausgesprochen
Zemřít,Sterben,Starb,Sein gestroben
Vymřít,Aussterben,Starb aus,Haben ausgestorben
Házet,Werfen,Warf,Haben geworfen
Prosit,Bitten,Bat,Haben gebeten
Ležet,Liegen,Lag,Haben gelegen
Sedět,Sitzen,Saß,Haben gesessen
Vlastnit,Besitzen,Besaß,Haben besessen
