Dělat,Machen,Machte,Haben gemacht
Otevřít,Aufmachen,Machte auf,Haben aufgemacht
Zavřít,Zumachen,Machte zu,Haben zugemacht
Zapnout,Anmachen,Machte an,Haben angemacht
Vypnout,Ausmachen,Machte aus,Haben ausgemacht
Vynést,Holen,Holte,Haben geholt
Vyzvednout,Abholen,Abholte,Haben abgeholt
Poslouchat,Hören,Hörte,Haben gehört
Naslouchat,Zuhören,Hörte zu,Haben zugehört
Patřit,Gehören,Gehörte,Haben gehört
Přestat,Aufhören,Hörte auf,Haben aufgehört
Objednat,Bestellen,Bestellte,Haben bestellt
Postavit,Stellen,Stellte,Haben gestellt
Sbírat,Sammeln,Sammelte,Haben gesammelt
Sesbírat,Einsammeln,Sammelte ein,Haben eingesammelt
Kupovat,Kaufen,Kaufte,Haben gekauft
Nakupovat,Einkaufen,Kaufte ein,Haben eingekauft
Prodávat,Verkaufen,Verkaufte,Haben verkaufen
Smát se,Lachen,Lachte,Haben gelacht
Vysmívat se,Auslachen,Lachte aus,Haben ausgelacht
Křížit (se),Kreuzen,Kreuzte,Haben gekreuzt
Zakřížkovat,Ankreuzen,Kreuzte an,Haben angekreuzt
Počítat,Zählen,Zählte,Haben gezählt
Sčítat,Mitzählen,Zählte mit,Haben mitgezählt
Uklízet,Aufräumen,Räumte auf,Haben aufgeräumt
Lézt,Klettern,Kletterte,Sein geklettert
Stát se (událost),Passieren,Passierte,Sein passiert
Vzbudit se,Aufwachen,Wachte auf,Sein aufgewacht
Kutálet se,Rollen,Rollte,Sein gerollt
Cestovat,Reisen,Reiste,Sein gereist
Vycestovat,Ausreisen,Reiste aus,Sein ausgereist
Odpovědět,Antworten,Antwortete,Habe antwortet
Zodpovědět,Beantworten,Beantwortete,Haben beantwortet
Koupat,Baden,Badete,Haben gebadet
Počítat,Rechnen,Rachnete,Haben gerechnet
Pršet,Regnen,Regnete,Haben geregnet
Dýchat,Atmen,Atmete,Haben geatmet
Kreslit,Zeichnen,Zeichnete,Haben gezeichnet
Otevřít,Öffnen,Öffnete,Haben geöffnet
Pracovat,Arbeiten,Arbeitete,Haben gearbeitet
Mluvit,Reden,Redete,Haben geredet
Opravit (stroj),Reparieren,Reparierte,Haben repariert
Opravit (chyby),Korrigieren,Korrigierte,Haben korrigiert
Telefonovat,Telefonieren,Telefonierte,Haben telefoniert
Balit,Packen,Packte,Haben gepackt
Zabalit,Einpacken,Einpackte,Haben eingepackt
Vysvětlit,Erklären,Erklärte,Haben erklärt
Vyprávét,Erzählen,Erzählte,Haben erzählt
Zničit,Zerstören,Zerstörte,Haben zerstört
