Být,Sein,War,Sein gewesen
Mít,Haben,Hatte,Haben gehabt
Stát se někým,Werden,Wurde,Sein geworden
Znát,Kennen,Kannte,Haben gekannt
Nazývat,Nennen,Nannte,Haben genannt
Běžet,Rennen,Rannte,Sein gerannt
Pálit/Hořet,Brennen,Brannte,Haben gebrannt
Myslet,Denken,Dachte,Haben gedacht
Vzít,Bringen,Brachte,Haben gebracht
Smět/mít možnost,Dürfen,Durfte,Haben gedarft
Moci/umět,Können,Konnte,Haben gekonnt
Mít rád/chtít,Mögen,Mochte (Nepouž.),Haben gemocht
Muset,Müssen,Musste,Haben gemusst
Mít povinnost,Sollen,Sollte,Haben gesollt
Chtít,Wollen,Wollte,Haben gewolt
Vědět,Wissen,Wusste,Haben gewusst
Stát,Stehen,Stand,Haben gestanden
Jít,Gehen,Ging,Haben gegangen
Dělat,Tun,Tat,Haben getan
